,Brooklyn_All,Brooklyn_Q1,Brooklyn_Q2,Brooklyn_Q3,Brooklyn_Q4,Brooklyn_Q5,Brooklyn_All_MoM,Brooklyn_Q1_MoM,Brooklyn_Q2_MoM,Brooklyn_Q3_MoM,Brooklyn_Q4_MoM,Brooklyn_Q5_MoM,Brooklyn_All_YoY,Brooklyn_Q1_YoY,Brooklyn_Q2_YoY,Brooklyn_Q3_YoY,Brooklyn_Q4_YoY,Brooklyn_Q5_YoY
1995-01,,,,,,,,,,,,,,,,,,
1995-02,,,,,,,,,,,,,,,,,,
1995-03,,,,,,,,,,,,,,,,,,
1995-04,,,,,,,,,,,,,,,,,,
1995-05,,,,,,,,,,,,,,,,,,
1995-06,,,,,,,,,,,,,,,,,,
1995-07,,,,,,,,,,,,,,,,,,
1995-08,,,,,,,,,,,,,,,,,,
1995-09,,,,,,,,,,,,,,,,,,
1995-10,,,,,,,,,,,,,,,,,,
1995-11,,,,,,,,,,,,,,,,,,
1995-12,,,,,,,,,,,,,,,,,,
1996-01,,,,,,,,,,,,,,,,,,
1996-02,,,,,,,,,,,,,,,,,,
1996-03,,,,,,,,,,,,,,,,,,
1996-04,,,,,,,,,,,,,,,,,,
1996-05,,,,,,,,,,,,,,,,,,
1996-06,,,,,,,,,,,,,,,,,,
1996-07,,,,,,,,,,,,,,,,,,
1996-08,,,,,,,,,,,,,,,,,,
1996-09,,,,,,,,,,,,,,,,,,
1996-10,,,,,,,,,,,,,,,,,,
1996-11,,,,,,,,,,,,,,,,,,
1996-12,,,,,,,,,,,,,,,,,,
1997-01,,,,,,,,,,,,,,,,,,
1997-02,,,,,,,,,,,,,,,,,,
1997-03,,,,,,,,,,,,,,,,,,
1997-04,,,,,,,,,,,,,,,,,,
1997-05,,,,,,,,,,,,,,,,,,
1997-06,,,,,,,,,,,,,,,,,,
1997-07,,,,,,,,,,,,,,,,,,
1997-08,,,,,,,,,,,,,,,,,,
1997-09,,,,,,,,,,,,,,,,,,
1997-10,,,,,,,,,,,,,,,,,,
1997-11,,,,,,,,,,,,,,,,,,
1997-12,,,,,,,,,,,,,,,,,,
1998-01,,,,,,,,,,,,,,,,,,
1998-02,,,,,,,,,,,,,,,,,,
1998-03,,,,,,,,,,,,,,,,,,
