,Queens_All,Queens_Q1,Queens_Q2,Queens_Q3,Queens_Q4,Queens_Q5,Queens_All_MoM,Queens_Q1_MoM,Queens_Q2_MoM,Queens_Q3_MoM,Queens_Q4_MoM,Queens_Q5_MoM,Queens_All_YoY,Queens_Q1_YoY,Queens_Q2_YoY,Queens_Q3_YoY,Queens_Q4_YoY,Queens_Q5_YoY
1995-01,,,,,,,,,,,,,,,,,,
1995-02,,,,,,,,,,,,,,,,,,
1995-03,,,,,,,,,,,,,,,,,,
1995-04,,,,,,,,,,,,,,,,,,
1995-05,,,,,,,,,,,,,,,,,,
1995-06,,,,,,,,,,,,,,,,,,
1995-07,,,,,,,,,,,,,,,,,,
1995-08,,,,,,,,,,,,,,,,,,
1995-09,,,,,,,,,,,,,,,,,,
1995-10,,,,,,,,,,,,,,,,,,
1995-11,,,,,,,,,,,,,,,,,,
1995-12,,,,,,,,,,,,,,,,,,
1996-01,,,,,,,,,,,,,,,,,,
1996-02,,,,,,,,,,,,,,,,,,
1996-03,,,,,,,,,,,,,,,,,,
1996-04,,,,,,,,,,,,,,,,,,
1996-05,,,,,,,,,,,,,,,,,,
1996-06,,,,,,,,,,,,,,,,,,
1996-07,,,,,,,,,,,,,,,,,,
1996-08,,,,,,,,,,,,,,,,,,
1996-09,,,,,,,,,,,,,,,,,,
1996-10,,,,,,,,,,,,,,,,,,
1996-11,,,,,,,,,,,,,,,,,,
1996-12,,,,,,,,,,,,,,,,,,
1997-01,,,,,,,,,,,,,,,,,,
1997-02,,,,,,,,,,,,,,,,,,
1997-03,,,,,,,,,,,,,,,,,,
1997-04,,,,,,,,,,,,,,,,,,
1997-05,,,,,,,,,,,,,,,,,,
1997-06,,,,,,,,,,,,,,,,,,
1997-07,,,,,,,,,,,,,,,,,,
1997-08,,,,,,,,,,,,,,,,,,
1997-09,,,,,,,,,,,,,,,,,,
1997-10,,,,,,,,,,,,,,,,,,
1997-11,,,,,,,,,,,,,,,,,,
1997-12,,,,,,,,,,,,,,,,,,
1998-01,,,,,,,,,,,,,,,,,,
1998-02,,,,,,,,,,,,,,,,,,
1998-03,,,,,,,,,,,,,,,,,,
1998-04,,,,,,,,,,,,,,,,,,
1998-05,,,,,,,,,,,,,,,,,,
1998-06,,,,,,,,,,,,,,,,,,
