,sales,MoM,YoY
,Queens,,
,Central Queens,,
,All,,
1995-01,,,
1995-02,,,
1995-03,,,
1995-04,,,
1995-05,,,
1995-06,,,
1995-07,,,
1995-08,,,
1995-09,,,
1995-10,,,
1995-11,,,
1995-12,,,
1996-01,,,
1996-02,,,
1996-03,,,
1996-04,,,
1996-05,,,
1996-06,,,
1996-07,,,
1996-08,,,
1996-09,,,
1996-10,,,
1996-11,,,
1996-12,,,
1997-01,,,
1997-02,,,
1997-03,,,
1997-04,,,
1997-05,,,
1997-06,,,
1997-07,,,
1997-08,,,
1997-09,,,
1997-10,,,
1997-11,,,
1997-12,,,
1998-01,,,
1998-02,,,
1998-03,,,
1998-04,,,
1998-05,,,
1998-06,,,
1998-07,,,
1998-08,,,
1998-09,,,
1998-10,,,
1998-11,,,
1998-12,,,
1999-01,,,
1999-02,,,
1999-03,,,
1999-04,,,
1999-05,,,
1999-06,,,
1999-07,,,
1999-08,,,
1999-09,,,
1999-10,,,
1999-11,,,
1999-12,,,
2000-01,,,
2000-02,,,
2000-03,,,
2000-04,,,
2000-05,,,
2000-06,,,
2000-07,,,
2000-08,,,
2000-09,,,
2000-10,,,
2000-11,,,
2000-12,,,
2001-01,,,
2001-02,,,
2001-03,,,
2001-04,,,
2001-05,,,
2001-06,,,
2001-07,,,
2001-08,,,
2001-09,,,
2001-10,,,
2001-11,,,
2001-12,,,
2002-01,,,
2002-02,,,
2002-03,,,
2002-04,,,
2002-05,,,
2002-06,,,
2002-07,,,
2002-08,,,
2002-09,,,
2002-10,,,
2002-11,,,
2002-12,,,
2003-01,,,
2003-02,,,
2003-03,,,
2003-04,,,
2003-05,,,
2003-06,,,
2003-07,,,
2003-08,,,
2003-09,,,
2003-10,,,
2003-11,,,
2003-12,,,
2004-01,,,
2004-02,,,
2004-03,,,
2004-04,,,
2004-05,,,
2004-06,,,
2004-07,,,
2004-08,,,
2004-09,,,
2004-10,,,
2004-11,,,
2004-12,,,
2005-01,399154.3906441438,,
2005-02,390066.3284805091,-0.022768288102677836,
2005-03,395899.8605023801,0.014955230933660246,
2005-04,385275.0064488447,-0.026837226060279384,
2005-05,407939.3644183819,0.05882644238576251,
2005-06,412290.7193929191,0.010666670966507752,
2005-07,416457.1786814782,0.010105634428769106,
2005-08,431039.7098529453,0.03501567968557073,
2005-09,436446.3299199278,0.012543206445705612,
2005-10,449708.4352501123,0.03038656627635672,
2005-11,455782.8713771271,0.013507498750020996,
2005-12,463832.3569291123,0.017660789945141975,
2006-01,471652.2389476111,0.016859285260458767,0.18162858784159286
2006-02,475583.2639571218,0.008334583587013,0.21923690724534262
2006-03,466442.8992755889,-0.019219273204611698,0.1781840455404371
2006-04,462382.19580569,-0.008705681823445888,0.20013545666394883
2006-05,461918.0476101823,-0.0010038193505675919,0.13232035910229056
2006-06,468989.5540900413,0.015309006687322047,0.13752149158392135
2006-07,481069.3331353806,0.02575703219824832,0.15514717421480717
2006-08,484454.5267535623,0.00703681025792835,0.12392087243850503
