,sales,MoM,YoY
,Brooklyn,,
,North Brooklyn,,
,All,,
1995-01,,,
1995-02,,,
1995-03,,,
1995-04,,,
1995-05,,,
1995-06,,,
1995-07,,,
1995-08,,,
1995-09,,,
1995-10,,,
1995-11,,,
1995-12,,,
1996-01,,,
1996-02,,,
1996-03,,,
1996-04,,,
1996-05,,,
1996-06,,,
1996-07,,,
1996-08,,,
1996-09,,,
1996-10,,,
1996-11,,,
1996-12,,,
1997-01,,,
1997-02,,,
1997-03,,,
1997-04,,,
1997-05,,,
1997-06,,,
1997-07,,,
1997-08,,,
1997-09,,,
1997-10,,,
1997-11,,,
1997-12,,,
1998-01,,,
1998-02,,,
1998-03,,,
1998-04,,,
1998-05,,,
1998-06,,,
1998-07,,,
1998-08,,,
1998-09,,,
1998-10,,,
1998-11,,,
1998-12,,,
1999-01,,,
1999-02,,,
1999-03,,,
1999-04,,,
1999-05,,,
1999-06,,,
1999-07,,,
1999-08,,,
1999-09,,,
1999-10,,,
1999-11,,,
1999-12,,,
2000-01,,,
2000-02,,,
2000-03,,,
2000-04,,,
2000-05,,,
2000-06,,,
2000-07,,,
2000-08,,,
2000-09,,,
2000-10,,,
2000-11,,,
2000-12,,,
2001-01,,,
2001-02,,,
2001-03,,,
2001-04,,,
2001-05,,,
2001-06,,,
2001-07,,,
2001-08,,,
2001-09,,,
2001-10,,,
2001-11,,,
2001-12,,,
2002-01,,,
2002-02,,,
2002-03,,,
2002-04,,,
2002-05,,,
2002-06,,,
2002-07,,,
2002-08,,,
2002-09,,,
2002-10,,,
2002-11,,,
2002-12,,,
2003-01,,,
2003-02,,,
2003-03,,,
2003-04,,,
2003-05,,,
2003-06,,,
2003-07,,,
2003-08,,,
2003-09,,,
2003-10,,,
2003-11,,,
2003-12,,,
2004-01,,,
2004-02,,,
2004-03,,,
2004-04,,,
2004-05,,,
2004-06,,,
2004-07,,,
2004-08,,,
2004-09,,,
2004-10,,,
2004-11,,,
2004-12,,,
2005-01,717762.7879057494,,
2005-02,676099.6648396162,-0.05804581091156269,
2005-03,692163.3027901866,0.02375927512755238,
2005-04,687863.5736224973,-0.006212015503215262,
2005-05,647385.7944334047,-0.058845650127865246,
2005-06,658737.2405949687,0.01753428366697296,
2005-07,688008.6867119535,0.04443569349525012,
2005-08,713101.9063268002,0.036472242428753576,
2005-09,739875.7389668903,0.03754559117364087,
2005-10,730079.0122057296,-0.013241043387691165,
2005-11,747192.3520580572,0.023440394212435267,
2005-12,771741.6775573825,0.032855429303721984,
2006-01,769973.051398466,-0.002291733374455429,0.07274027627574986
2006-02,728600.847856046,-0.053732014993612465,0.07765302328449497
2006-03,739383.5305725954,0.01479916300986761,0.06822122408405495
2006-04,762102.8135564998,0.030727331681718706,0.10792727334438745
2006-05,818250.9167627189,0.07367523411203947,0.263930910746746
2006-06,849550.830206239,0.03825221921822375,0.2896657086502781
2006-07,834496.8729345923,-0.01771990178385463,0.21291618703641246
2006-08,836532.269439127,0.002439070259636855,0.17308937476849362
2006-09,855000.4334160356,0.022077049088962353,0.15560003982546755
2006-10,874046.3387791289,0.022275901413286947,0.1971941723655939
2006-11,878641.7133169138,0.005257586850834217,0.1759243933597474
2006-12,844225.684035216,-0.039169582732164754,0.09392262797993567
2007-01,852470.0445710531,0.009765588386781765,0.10714270197216869
2007-02,810434.3045885761,-0.04931051859262536,0.11231589555972943
2007-03,825100.7047368318,0.018096963646795805,0.11593059707166464
2007-04,837894.6776297761,0.015505953175770193,0.09945097003326753
2007-05,798449.8008806396,-0.04707617532637587,-0.02419932013082171
2007-06,785270.4931526443,-0.016506119374642414,-0.07566390940726864
2007-07,805340.1547395617,0.025557641299297273,-0.03493927795379037
2007-08,806231.705652939,0.0011070488763418318,-0.03622163172079862
2007-09,828840.6298931672,0.028042712884775334,-0.030596245920426646
2007-10,806972.6014954187,-0.026383875993829076,-0.07673933784494658
2007-11,808238.0364607534,0.0015681263068778595,-0.08012785620020613
2007-12,801133.3551955954,-0.008790332729537442,-0.05104361269092006
2008-01,817006.3894038309,0.019813223485570797,-0.041601057295880595
2008-02,799957.1223643848,-0.020867972711800853,-0.012927861228073323
2008-03,814019.5780462057,0.01757901178535337,-0.01343002936127713
2008-04,841589.4033023019,0.033868749597237846,0.004409534719778119
2008-05,853867.5501458615,0.014589236503432135,0.06940667929793398
2008-06,851812.7202128809,-0.0024064972754024305,0.08473796945188661
2008-07,856157.6440014126,0.005100797024310433,0.06310065251655628
2008-08,848771.0990346948,-0.008627552435548358,0.05276323553575035
2008-09,863974.130845001,0.017911816068662656,0.042388729129220204
2008-10,865948.7069037723,0.0022854573861375016,0.07308315709735824
2008-11,864039.5078204119,-0.00220474846620744,0.06904088751379645
2008-12,788859.2933844634,-0.08701015839610715,-0.01532087227617096
2009-01,790937.4460356539,0.0026343768383263466,-0.031907881879846056
2009-02,761422.3584915979,-0.03731658893126366,-0.04817103666618039
2009-03,754676.6130411989,-0.008859400272619444,-0.07290115201828518
2009-04,759539.6834612788,0.006443912976821453,-0.09749376539090115
2009-05,760284.2022422046,0.0009802236764417938,-0.10959937274542231
2009-06,732453.8169834777,-0.03660523943105809,-0.14012341022516495
2009-07,726638.7441733168,-0.00793916650487203,-0.15127926584030138
2009-08,691526.9192374657,-0.04832088189268946,-0.18526099672345409
2009-09,718641.1913144443,0.039209279238004324,-0.16821445728752926
2009-10,719290.4092685912,0.0009033965238751662,-0.16936141421073614
2009-11,706218.281667947,-0.018173643680216234,-0.18265510399006857
2009-12,603040.7196781217,-0.14609868459669495,-0.23555350778605832
2010-01,661297.2621114476,0.09660465791500927,-0.16390699994543234
2010-02,679139.1912019958,0.02698019500879356,-0.10806507895645157
2010-03,676905.8824270987,-0.003288440431400308,-0.10305173006580848
2010-04,680209.8525382372,0.004880988918713358,-0.10444461645707515
2010-05,699841.285256973,0.0288608473480354,-0.07950042471877672
2010-06,707141.3426938959,0.010431018561933625,-0.034558457752091654
2010-07,682454.4006798854,-0.03491090185727819,-0.06080647893844282
2010-08,690449.5449997317,0.011715279895449848,-0.001557964278414481
2010-09,706047.4245174881,0.022590904188027894,-0.017524415451223074
2010-10,712332.6455607556,0.008901981403816928,-0.009673093952289102
2010-11,721035.2800982841,0.0122170935050685,0.020980763051534623
2010-12,708853.879346076,-0.016894319998527196,0.1754660277740996
2011-01,702347.0464791338,-0.009179371174415918,0.062074632271452046
2011-02,713925.92314181,0.0164859761576861,0.0512218001706628
2011-03,709770.1104350219,-0.005821069906663978,0.04855066097237337
2011-04,695753.5025563398,-0.019748095436269097,0.02285125679979605
2011-05,706676.5832542722,0.015699641694650213,0.009766925932055193
2011-06,701370.5878359093,-0.0075083787182088635,-0.008160680912818075
2011-07,708225.5220618632,0.009773626588911899,0.037762407797947706
2011-08,740875.0625339664,0.04610048558692181,0.07303287821596616
2011-09,749336.4831326102,0.011420846815526131,0.06131182851450201
2011-10,762662.3249481125,0.017783521976393546,0.07065474213629064
2011-11,754975.5724384447,-0.010078841262010307,0.04707161116378966
2011-12,743891.7184017067,-0.014681076370377188,0.0494288598490189
2012-01,777134.0512566329,0.04468705865733957,0.10648155374526946
2012-02,777730.4222778014,0.0007673978771154388,0.08937131580151036
2012-03,780588.4581857095,0.0036748413409590786,0.09977645819331937
2012-04,790534.0094390016,0.012741094425618327,0.13622713580947687
2012-05,781963.4612549505,-0.010841466757556817,0.10653653988926504
2012-06,785977.1051727114,0.005132776806884953,0.12063026138272614
2012-07,753473.5612724586,-0.04135431386784538,0.0638893089857373
2012-08,777814.2310320762,0.03230461028852982,0.04985883634923427
2012-09,776186.703681679,-0.0020924370954715776,0.03583199424218764
2012-10,793396.2917931827,0.02217196974629121,0.04029826286117011
2012-11,776196.8293140105,-0.021678274346731752,0.028108534435127064
2012-12,797923.3289364714,0.027990966726394007,0.07263370353262522
2013-01,821201.3513402843,0.029173257078270343,0.056704888960140476
2013-02,787379.8423557954,-0.04118540346930599,0.01240715266060044
2013-03,801786.4595750917,0.018296908866999306,0.027156437130331
2013-04,845560.6905468567,0.05459587206668881,0.06960697509637126
2013-05,868139.922352685,0.026703265724457248,0.11020522744046435
2013-06,882006.9174042302,0.01597322585276939,0.12217889248875391
2013-07,901938.2327485699,0.02259768597166789,0.19704031980284165
2013-08,925189.3936088434,0.025779105504173838,0.1894734715527333
2013-09,951826.4632378632,0.028790937091396795,0.22628545261478172
2013-10,944478.8961619288,-0.00771943979256462,0.19042514558176094
2013-11,970743.4361553807,0.027808498527794434,0.2506408162132112
2013-12,983321.0677638775,0.012956700133158083,0.2323503175104773
2014-01,1005097.5429745631,0.02214584424617949,0.22393556870570341
2014-02,1024623.1812742439,0.019426610318731052,0.3013073565721849
2014-03,1014891.1404223008,-0.009498165793828783,0.2657873281623442
2014-04,993242.5106176145,-0.02133098708072101,0.17465549394833646
2014-05,974191.2895641048,-0.019180835344696834,0.12215930229774186
2014-06,964588.7779750663,-0.009856905611766442,0.09362949308138835
2014-07,974015.9450168915,0.009773249758944225,0.07991424429217475
2014-08,1016630.3538744103,0.043751243576181764,0.09883485575735729
2014-09,1004975.6055083096,-0.01146409638634549,0.05583910967304595
2014-10,1007386.8720968524,0.0023993284765586598,0.06660601543407929
2014-11,1084509.611504393,0.07655722100786488,0.1171948952851869
2014-12,1113590.9408339052,0.026815188192912176,0.13247948949804167
2015-01,1072753.5831826883,-0.03667177610176686,0.0673129097578915
2015-02,1096781.5559915467,0.022398408344226794,0.07042430430625735
2015-03,1063830.2725498052,-0.03004361557844748,0.048221065470273716
2015-04,1050298.4071807456,-0.012719947644116436,0.05744407428519427
2015-05,1053174.150908009,0.0027380254103046564,0.08107531055758521
2015-06,1067674.7816848494,0.013768502354846612,0.10687041572906186
