,sales,MoM,YoY
,Queens,,
,Northeast Queens,,
,All,,
1995-01,,,
1995-02,,,
1995-03,,,
1995-04,,,
1995-05,,,
1995-06,,,
1995-07,,,
1995-08,,,
1995-09,,,
1995-10,,,
1995-11,,,
1995-12,,,
1996-01,,,
1996-02,,,
1996-03,,,
1996-04,,,
1996-05,,,
1996-06,,,
1996-07,,,
1996-08,,,
1996-09,,,
1996-10,,,
1996-11,,,
1996-12,,,
1997-01,,,
1997-02,,,
1997-03,,,
1997-04,,,
1997-05,,,
1997-06,,,
1997-07,,,
1997-08,,,
1997-09,,,
1997-10,,,
1997-11,,,
1997-12,,,
1998-01,,,
1998-02,,,
1998-03,,,
1998-04,,,
1998-05,,,
1998-06,,,
1998-07,,,
1998-08,,,
1998-09,,,
1998-10,,,
1998-11,,,
1998-12,,,
1999-01,,,
1999-02,,,
1999-03,,,
1999-04,,,
1999-05,,,
1999-06,,,
1999-07,,,
1999-08,,,
1999-09,,,
1999-10,,,
1999-11,,,
1999-12,,,
2000-01,,,
2000-02,,,
2000-03,,,
2000-04,,,
2000-05,,,
2000-06,,,
2000-07,,,
2000-08,,,
2000-09,,,
2000-10,,,
2000-11,,,
2000-12,,,
2001-01,,,
2001-02,,,
2001-03,,,
2001-04,,,
2001-05,,,
2001-06,,,
2001-07,,,
2001-08,,,
2001-09,,,
2001-10,,,
2001-11,,,
2001-12,,,
2002-01,,,
2002-02,,,
2002-03,,,
2002-04,,,
2002-05,,,
2002-06,,,
2002-07,,,
2002-08,,,
2002-09,,,
2002-10,,,
2002-11,,,
2002-12,,,
2003-01,,,
2003-02,,,
2003-03,,,
2003-04,,,
2003-05,,,
2003-06,,,
2003-07,,,
2003-08,,,
2003-09,,,
2003-10,,,
2003-11,,,
2003-12,,,
2004-01,,,
2004-02,,,
2004-03,,,
2004-04,,,
2004-05,,,
2004-06,,,
2004-07,,,
2004-08,,,
2004-09,,,
2004-10,,,
2004-11,,,
2004-12,,,
2005-01,498071.2890506413,,
2005-02,501625.408623112,0.0071357648003465,
2005-03,500215.6658872204,-0.0028103495390338074,
2005-04,502636.1572042144,0.004838895464621018,
2005-05,509618.5353362584,0.01389151582504855,
2005-06,524474.1010296629,0.029150363778669197,
2005-07,532821.5913256232,0.01591592469403591,
2005-08,531910.6933517475,-0.001709574065137831,
2005-09,527818.4199690957,-0.007693534711372241,
2005-10,536517.0495586989,0.01648034486957184,
2005-11,553136.0743923943,0.030975762741118906,
2005-12,552675.8679702674,-0.0008319949528375892,
2006-01,553998.413408309,0.0023929856805557925,0.11228738854686582
2006-02,557029.8508911302,0.005471924484713231,0.1104498323162999
2006-03,554742.699271446,-0.0041059767551510085,0.10900704856476717
2006-04,558079.048994143,0.006014229168006535,0.11030422502494752
2006-05,567429.8006126519,0.016755245758396153,0.11344027202277518
2006-06,568484.5789212332,0.0018588701323802859,0.08391353892435793
2006-07,559046.832238035,-0.016601587858561362,0.049219553673050864
2006-08,563621.9308861572,0.008183748452355255,0.05961759733497107
2006-09,559130.059586894,-0.007969653154200063,0.05932274894769973
2006-10,557842.0383868333,-0.0023036164448256846,0.03974708510321312
2006-11,564408.1140624195,0.011770492762743334,0.020378420775407413
2006-12,554325.3298847363,-0.01786435015101162,0.0029845014230975853
2007-01,556648.5395453934,0.0041910580942425835,0.004783634885848098
2007-02,546092.6466222948,-0.018963299412802725,-0.01963486202999387
2007-03,549558.6408046577,0.006346897735761248,-0.00934497826397096
2007-04,551313.4195093521,0.003193069081991018,-0.012123066610339572
2007-05,547444.9056520591,-0.007016904940815305,-0.03522003063465318
2007-06,553726.9288687789,0.011475169741943736,-0.025959631271720185
2007-07,553571.091804051,-0.0002814330613218896,-0.009794779467872217
2007-08,550632.0856744217,-0.005309175593059212,-0.02304708972433367
2007-09,550797.4631735301,0.0003003411958926172,-0.014902787411430474
2007-10,555903.5079132624,0.00927027642849465,-0.003475052685481983
2007-11,551685.0865161396,-0.0075884057881876466,-0.02254224776235747
2007-12,543166.3821360344,-0.015441244630882256,-0.020130683458073673
2008-01,541422.4272071222,-0.0032107195626761564,-0.027353188334431233
2008-02,540929.2501366291,-0.0009108914697847359,-0.009455165744498562
2008-03,542062.3764126488,0.0020947772296164846,-0.013640517745354575
2008-04,539945.9887425915,-0.0039043249672916502,-0.02061881747206007
2008-05,542403.6884381877,0.004551751002576543,-0.009208629328401274
2008-06,545752.8250171652,0.006174619845637608,-0.01440078752879903
2008-07,545887.7902009996,0.0002473009348695765,-0.013879521016915808
2008-08,542005.4806739747,-0.007111918597035083,-0.015666731425360014
2008-09,537955.1066330222,-0.0074729392697578945,-0.023315932623425795
2008-10,543918.9502928898,0.0110861363454553,-0.02155870119503267
2008-11,540745.6488218732,-0.005834143982863305,-0.019829134340658472
2008-12,531384.7935821791,-0.01731101352380493,-0.02169057022182319
2009-01,539626.10125346,0.015509114620545494,-0.0033177900718452946
2009-02,530839.4081622565,-0.01628292825494093,-0.018652794190412325
2009-03,517489.1100223696,-0.025149410414168405,-0.04533291270444617
2009-04,504584.9158171181,-0.02493616571891477,-0.06549001874765492
2009-05,505240.4097662148,0.0012990755937187792,-0.06851590330991641
2009-06,500364.4022094571,-0.00965086612730337,-0.08316662915355588
2009-07,499739.2094452746,-0.0012494749055325105,-0.08453858390702007
2009-08,493508.9731916123,-0.012466975046000695,-0.08947604629764605
2009-09,491623.6206260487,-0.0038203004767485282,-0.08612519044006306
2009-10,493838.2234675476,0.004504671355454404,-0.09207387754806984
2009-11,493282.4900497877,-0.001125334960622948,-0.0877735380312239
2009-12,497620.2855535789,0.008793735012474047,-0.06354059889630337
2010-01,499682.1467214135,0.004143442756841864,-0.07402153906058939
2010-02,481031.8541834092,-0.03732431238613443,-0.09382791332557416
2010-03,491158.0147245233,0.021050914722277714,-0.050882414311497426
2010-04,489593.4879718747,-0.0031853837375046545,-0.029710416176366383
2010-05,482912.1932939551,-0.013646616717874704,-0.04419325145150488
2010-06,480340.4489635139,-0.005325490567755775,-0.0400187406568564
2010-07,491015.3181252166,0.022223548286922412,-0.01745688782303434
2010-08,485528.3230329292,-0.011174794125033971,-0.0161712361724059
2010-09,483498.7831339854,-0.004180064895629498,-0.016526540123757427
2010-10,479255.3703912215,-0.008776470367223288,-0.029529615941696008
2010-11,482976.0143605927,0.0077633850327727405,-0.020893658090630263
2010-12,480378.7416034965,-0.0053776433608917484,-0.03464799255701978
2011-01,487528.7336047805,0.014884072466274212,-0.02432228807127823
2011-02,482483.2316059332,-0.01034913770423529,0.003017216863918204
2011-03,488937.4538461227,0.01337709130057596,-0.004521072265604831
2011-04,479517.7946990784,-0.019265570826997536,-0.020579712598985944
2011-05,490373.2367028453,0.0226382464295809,0.015450103585080921
2011-06,481518.9408103348,-0.01805623804440204,0.002453451191470224
2011-07,484644.5219854733,0.006491086663960699,-0.012974740103970928
2011-08,475448.2744778772,-0.018975242864442743,-0.02076098978548857
2011-09,470088.3852699334,-0.011273338227654417,-0.027736156391392153
2011-10,458408.9542830191,-0.024845180933810385,-0.04349751175701
2011-11,461952.1006630003,0.007729225938709838,-0.04352993331444366
2011-12,460418.1416523207,-0.0033206018729605713,-0.041551796993654744
2012-01,453253.8267953426,-0.015560453007492758,-0.07030335741651517
2012-02,460072.1797546815,0.015043122763125805,-0.046449390120060996
2012-03,453869.2154832492,-0.013482589350957475,-0.0717233627471503
2012-04,459182.6314275262,0.011706931783464603,-0.04240752584440288
2012-05,473549.9768784583,0.03128895665384013,-0.03430705137479095
2012-06,473517.131070552,-6.936080563835212e-05,-0.016617850434537007
2012-07,469517.2161463144,-0.008447244379932717,-0.031213198855907676
2012-08,467343.7322149388,-0.004629188998041545,-0.017046107217106976
2012-09,464460.1767475731,-0.006170095517702423,-0.011972660245856748
2012-10,453147.7196994114,-0.024356139911452135,-0.011477163642749089
2012-11,461021.6433954419,0.017376063817011955,-0.0020141855967816813
2012-12,464870.7033026748,0.008348978757015457,0.009670691155598377
2013-01,462348.3426759733,-0.005425940178164335,0.020064951122270802
2013-02,457353.0332468766,-0.010804211820431564,-0.00591026066660838
2013-03,467746.5789000658,0.022725432866165685,0.030575687760715065
2013-04,474407.981161767,0.014241477248996492,0.033157503555627965
2013-05,474008.8165035571,-0.0008413953265128393,0.000968936009929422
2013-06,474139.5307439205,0.00027576331032741486,0.0013144184920224067
2013-07,472511.7691338645,-0.003433085630936583,0.006377940753969913
2013-08,474542.7569974372,0.00429827995035037,0.015404132518006097
2013-09,473328.3974238303,-0.002559009816713864,0.01909360827952522
2013-10,480304.4737549243,0.014738343123003927,0.05992914203237509
2013-11,492310.1187655877,0.024995905028336818,0.0678676930213189
2013-12,485723.452596837,-0.013379099713136111,0.04485709498579671
2014-01,493454.4349587676,0.015916428001568006,0.06727847687905375
2014-02,495520.1758578233,0.004186284999603496,0.08345225643303933
2014-03,496857.0306589998,0.002697881673258351,0.062235520412333045
2014-04,497075.3947850665,0.0004394908647604723,0.04778042217542344
2014-05,493072.555047576,-0.008052781890806049,0.04021810962217809
2014-06,500220.2986870799,0.014496332367990306,0.05500652498271763
2014-07,506716.232732452,0.012986146428727086,0.07238859607938619
2014-08,497317.3034838823,-0.018548703675598244,0.047992612152687464
2014-09,499868.9381854693,0.005130798151827598,0.05607214970851193
2014-10,505825.6571963254,0.011916561634093714,0.05313542728819831
2014-11,496641.441953391,-0.01815687898047791,0.008797956862360623
2014-12,495542.3558548545,-0.0022130374263846786,0.020215007542918606
2015-01,503607.075205929,0.016274530836344114,0.02057462559437684
2015-02,505545.509756333,0.0038491011064754055,0.02023193885325525
2015-03,505866.2080682775,0.0006343609146071127,0.018132333555446634
2015-04,509022.2547769494,0.006238896092157775,0.024034301671779
2015-05,510064.7345491621,0.002048004311067775,0.03446182377753004
