,sales,MoM,YoY
,Brooklyn,,
,Northwest Brooklyn,,
,All,,
1995-01,,,
1995-02,,,
1995-03,,,
1995-04,,,
1995-05,,,
1995-06,,,
1995-07,,,
1995-08,,,
1995-09,,,
1995-10,,,
1995-11,,,
1995-12,,,
1996-01,,,
1996-02,,,
1996-03,,,
1996-04,,,
1996-05,,,
1996-06,,,
1996-07,,,
1996-08,,,
1996-09,,,
1996-10,,,
1996-11,,,
1996-12,,,
1997-01,,,
1997-02,,,
1997-03,,,
1997-04,,,
1997-05,,,
1997-06,,,
1997-07,,,
1997-08,,,
1997-09,,,
1997-10,,,
1997-11,,,
1997-12,,,
1998-01,,,
1998-02,,,
1998-03,,,
1998-04,,,
1998-05,,,
1998-06,,,
1998-07,,,
1998-08,,,
1998-09,,,
1998-10,,,
1998-11,,,
1998-12,,,
1999-01,,,
1999-02,,,
1999-03,,,
1999-04,,,
1999-05,,,
1999-06,,,
1999-07,,,
1999-08,,,
1999-09,,,
1999-10,,,
1999-11,,,
1999-12,,,
2000-01,,,
2000-02,,,
2000-03,,,
2000-04,,,
2000-05,,,
2000-06,,,
2000-07,,,
2000-08,,,
2000-09,,,
2000-10,,,
2000-11,,,
2000-12,,,
2001-01,,,
2001-02,,,
2001-03,,,
2001-04,,,
2001-05,,,
2001-06,,,
2001-07,,,
2001-08,,,
2001-09,,,
2001-10,,,
2001-11,,,
2001-12,,,
2002-01,,,
2002-02,,,
2002-03,,,
2002-04,,,
2002-05,,,
2002-06,,,
2002-07,,,
2002-08,,,
2002-09,,,
2002-10,,,
2002-11,,,
2002-12,,,
2003-01,,,
2003-02,,,
2003-03,,,
2003-04,,,
2003-05,,,
2003-06,,,
2003-07,,,
2003-08,,,
2003-09,,,
2003-10,,,
2003-11,,,
2003-12,,,
2004-01,,,
2004-02,,,
2004-03,,,
2004-04,,,
2004-05,,,
2004-06,,,
2004-07,,,
2004-08,,,
2004-09,,,
2004-10,,,
2004-11,,,
2004-12,,,
2005-01,1022854.9092995124,,
2005-02,897591.6017370104,-0.12246439492409222,
2005-03,747603.693916924,-0.16710039123564813,
2005-04,738267.9915667431,-0.012487501635081832,
2005-05,698902.8461767669,-0.053320942854959696,
2005-06,722611.5410466033,0.03392273332342399,
2005-07,708533.9234709553,-0.019481584192882595,
2005-08,796037.1650379109,0.12349901489302861,
2005-09,936013.8899150271,0.17584194686494303,
2005-10,931483.8732559795,-0.004839689568558403,
2005-11,907696.0015733475,-0.025537609791871252,
2005-12,810967.836692057,-0.10656449374419141,
2006-01,855541.1840068818,0.05496315056912704,-0.16357522828649573
2006-02,949460.9646920647,0.10977821107958197,0.057787264112851844
2006-03,888367.1264991204,-0.06434581353511326,0.18828616515348373
2006-04,870361.0565430585,-0.020268726091903333,0.17892292024741474
2006-05,887429.6530593905,0.01961093776889089,0.2697468008807353
2006-06,874514.0091437825,-0.01455399182468331,0.2102131774385576
2006-07,1094587.5182131606,0.2516523540713169,0.5448625421504332
2006-08,992149.938333912,-0.09358555453516493,0.2463613282260022
2006-09,956311.5666473868,-0.036121931072946145,0.021685230263198685
2006-10,925938.6871918001,-0.031760443473529354,-0.005953067168834925
2006-11,932095.7229486869,0.006649506972821184,0.026880939580042673
2006-12,952883.8631564967,0.022302580835846353,0.17499587535224093
2007-01,908695.9402937532,-0.04637283153937333,0.06212997957377553
2007-02,908075.1119933283,-0.0006832079608765085,-0.043588787994205624
2007-03,875781.4461031568,-0.03556276949302495,-0.014167206350330974
2007-04,877637.8751400469,0.0021197400848698145,0.008360689557838086
2007-05,873025.4201850422,-0.00525553315969729,-0.01623140811746604
2007-06,864902.0572882044,-0.00930484119822761,-0.01099119254246017
2007-07,871106.5704424909,0.007173659840444824,-0.20416909936583882
2007-08,894660.08712115,0.02703861671792329,-0.0982612077530074
2007-09,926097.3358443956,0.035138762951195,-0.031594547066826184
2007-10,929989.39874747,0.004202649929368141,0.0043747081871641225
2007-11,926821.8251891867,-0.0034060318994489913,-0.00565810745576234
2007-12,916789.7757705635,-0.010824140245699776,-0.03787878962119151
2008-01,914010.0515356723,-0.0030320192353311404,0.005848063148825355
