,sales,MoM,YoY
,Queens,,
,Northwest Queens,,
,All,,
1995-01,,,
1995-02,,,
1995-03,,,
1995-04,,,
1995-05,,,
1995-06,,,
1995-07,,,
1995-08,,,
1995-09,,,
1995-10,,,
1995-11,,,
1995-12,,,
1996-01,,,
1996-02,,,
1996-03,,,
1996-04,,,
1996-05,,,
1996-06,,,
1996-07,,,
1996-08,,,
1996-09,,,
1996-10,,,
1996-11,,,
1996-12,,,
1997-01,,,
1997-02,,,
1997-03,,,
1997-04,,,
1997-05,,,
1997-06,,,
1997-07,,,
1997-08,,,
1997-09,,,
1997-10,,,
1997-11,,,
1997-12,,,
1998-01,,,
1998-02,,,
1998-03,,,
1998-04,,,
1998-05,,,
1998-06,,,
1998-07,,,
1998-08,,,
1998-09,,,
1998-10,,,
1998-11,,,
1998-12,,,
1999-01,,,
1999-02,,,
1999-03,,,
1999-04,,,
1999-05,,,
1999-06,,,
1999-07,,,
1999-08,,,
1999-09,,,
1999-10,,,
1999-11,,,
1999-12,,,
2000-01,,,
2000-02,,,
2000-03,,,
2000-04,,,
2000-05,,,
2000-06,,,
2000-07,,,
2000-08,,,
2000-09,,,
2000-10,,,
2000-11,,,
2000-12,,,
2001-01,,,
2001-02,,,
2001-03,,,
2001-04,,,
2001-05,,,
2001-06,,,
2001-07,,,
2001-08,,,
2001-09,,,
2001-10,,,
2001-11,,,
2001-12,,,
2002-01,,,
2002-02,,,
2002-03,,,
2002-04,,,
2002-05,,,
2002-06,,,
2002-07,,,
2002-08,,,
2002-09,,,
2002-10,,,
2002-11,,,
2002-12,,,
2003-01,,,
2003-02,,,
2003-03,,,
2003-04,,,
2003-05,,,
2003-06,,,
2003-07,,,
2003-08,,,
2003-09,,,
2003-10,,,
2003-11,,,
2003-12,,,
2004-01,,,
2004-02,,,
2004-03,,,
2004-04,,,
2004-05,,,
2004-06,,,
2004-07,,,
2004-08,,,
2004-09,,,
2004-10,,,
2004-11,,,
2004-12,,,
2005-01,465155.5915473529,,
2005-02,481085.1929738047,0.03424574855364315,
2005-03,478852.8904582174,-0.004640139726164616,
2005-04,495207.5047540092,0.034153734104313216,
2005-05,518694.8399614923,0.047429279609060515,
2005-06,499183.5596379108,-0.037616106466434096,
2005-07,523336.1941552277,0.04838427478428242,
2005-08,533514.6421966018,0.019449157453755417,
2005-09,555898.2339440312,0.04195497176098284,
2005-10,550931.512162129,-0.008934588164930535,
2005-11,541050.5792592245,-0.01793495685902391,
2005-12,538088.574411384,-0.005474543344720084,
2006-01,513574.9234714686,-0.04555690662402723,0.10409276552614899
2006-02,551944.4533275152,0.07471067628592687,0.14729046203999197
2006-03,524545.259416025,-0.04964121615193018,0.09542047227507444
2006-04,558997.7918458438,0.06568076216754815,0.12881526729592263
2006-05,570978.9548278257,0.02143329214668155,0.10079937342390943
2006-06,579059.6045835501,0.014152272491656293,0.16001337264307836
2006-07,597048.0484416364,0.03106492615906653,0.14084990701893796
2006-08,624118.0008248492,0.04533965474616086,0.1698235652075315
2006-09,624386.8831511684,0.000430819694294593,0.12320357400889437
2006-10,617851.591593199,-0.010466734222517537,0.1214671478283067
2006-11,627555.0371946957,0.01570513976742438,0.15988238669646782
2006-12,625854.9054853647,-0.002709135627260495,0.16310759092030258
2007-01,614275.7775047927,-0.01850129779136611,0.19607821455269803
2007-02,602139.2757633626,-0.01975741545715648,0.0909418006345335
2007-03,594287.8343150885,-0.01303924484633645,0.13295816451893527
2007-04,600624.9913427569,0.010663447342771137,0.0744675562303343
2007-05,619897.8888678991,0.032088071263993934,0.08567554657916343
2007-06,620318.9286989004,0.0006792083640907443,0.07125229214533668
2007-07,623898.5009599434,0.005770535276992117,0.044972012869633815
2007-08,641953.0845954069,0.02893833469335849,0.028576461097078454
2007-09,620333.4921399289,-0.0336778387303861,-0.0064917939832156435
2007-10,620883.6741983626,0.0008869133545181818,0.004907461025300819
2007-11,631562.515298609,0.01719942324789603,0.006385859193844823
2007-12,628548.6986962388,-0.00477200044233983,0.004304181667770024
2008-01,612018.3101714029,-0.026299296393619054,-0.0036750062692683105
2008-02,637698.7146352803,0.04196018981308791,0.05905517262071491
2008-03,611661.3518112262,-0.040830194928251795,0.0292341799595488
2008-04,568423.7895730198,-0.0706887268750479,-0.053612823698441336
2008-05,581542.9538186565,0.023079900043401214,-0.06187298866155044
2008-06,580710.2085600797,-0.001431958298365843,-0.06385218684507787
2008-07,583573.4148623623,0.004930525174307254,-0.06463404870429412
2008-08,592444.9494272985,0.015202088270296787,-0.07712111111563713
2008-09,612844.5301665517,0.03443287137306683,-0.012072477253393
2008-10,592017.3648160847,-0.03398441909044503,-0.04649229893111273
2008-11,592868.3082225499,0.0014373622414427523,-0.061267421892137075
2008-12,592437.8854694271,-0.0007260006094998994,-0.05745109854131303
2009-01,600320.7167157691,0.01330575143771573,-0.01911314295867661
2009-02,602478.5421158125,0.0035944543307591115,-0.055230113705986184
2009-03,586648.2118736749,-0.026275342830541226,-0.04089377212322387
2009-04,571371.0603766607,-0.026041418328406785,0.005184988485184228
2009-05,555053.1514893902,-0.028559214876079597,-0.04555089551910674
2009-06,548775.6659845309,-0.01130970158085709,-0.054992218329919074
2009-07,557247.5317998468,0.015437757795103701,-0.04511151877733255
2009-08,550725.2827885675,-0.011704401794680352,-0.07041948231487227
2009-09,549295.7130721502,-0.002595794602308188,-0.10369484260083206
2009-10,547544.8001739493,-0.003187559736099632,-0.07512037194373711
2009-11,541198.2724330276,-0.01159088304537903,-0.08715263587698197
2009-12,546078.286637661,0.009017054290832549,-0.07825225220873966
2010-01,539890.4411639969,-0.011331425594238942,-0.10066331857140265
2010-02,519462.1109309864,-0.03783791798381775,-0.13779151518539579
2010-03,486648.0172205503,-0.06316936889126779,-0.17046023942310762
2010-04,493292.8851163946,0.013654361387920533,-0.13665055981098373
2010-05,524319.9385457432,0.06289783284027628,-0.05536985577179343
2010-06,554508.8716735457,0.057577312836003536,0.010447266605251304
2010-07,530707.108328214,-0.042924044251079874,-0.04762770933396543
2010-08,521914.8620000429,-0.016567040821947265,-0.0523135975211535
2010-09,539895.9786474999,0.034452202756884764,-0.017112338947774863
2010-10,581488.0055931363,0.07703711194483986,0.06199164964840054
2010-11,553579.2280559789,-0.04799544834753655,0.02287693116109013
2010-12,547983.5073033045,-0.010108256359844026,0.0034889148905268286
2011-01,580512.6111014449,0.0593614650160188,0.07524150612829361
2011-02,550868.7864337927,-0.051064910737093294,0.060459992830889764
2011-03,564680.3386019003,0.02507230852109199,0.160346531004123
2011-04,551791.3541327582,-0.02282527580303939,0.11858770069744806
2011-05,545296.4993977224,-0.011770490215896268,0.040007177507229486
2011-06,533054.6133056503,-0.02244996273695732,-0.038690559274813685
2011-07,528811.2156776146,-0.007960530726337844,-0.003572389781195451
2011-08,539824.6098956631,0.02082670316274604,0.03431545870716879
2011-09,560655.0146008569,0.038587356566089026,0.03845006589113842
2011-10,534406.8795233205,-0.04681690949687323,-0.08096663321849873
