,sales,MoM,YoY
,Brooklyn,,
,Prospect Park,,
,All,,
1995-01,,,
1995-02,,,
1995-03,,,
1995-04,,,
1995-05,,,
1995-06,,,
1995-07,,,
1995-08,,,
1995-09,,,
1995-10,,,
1995-11,,,
1995-12,,,
1996-01,,,
1996-02,,,
1996-03,,,
1996-04,,,
1996-05,,,
1996-06,,,
1996-07,,,
1996-08,,,
1996-09,,,
1996-10,,,
1996-11,,,
1996-12,,,
1997-01,,,
1997-02,,,
1997-03,,,
1997-04,,,
1997-05,,,
1997-06,,,
1997-07,,,
1997-08,,,
1997-09,,,
1997-10,,,
1997-11,,,
1997-12,,,
1998-01,,,
1998-02,,,
1998-03,,,
1998-04,,,
1998-05,,,
1998-06,,,
1998-07,,,
1998-08,,,
1998-09,,,
1998-10,,,
1998-11,,,
1998-12,,,
1999-01,,,
1999-02,,,
1999-03,,,
1999-04,,,
1999-05,,,
1999-06,,,
1999-07,,,
1999-08,,,
1999-09,,,
1999-10,,,
1999-11,,,
1999-12,,,
2000-01,,,
2000-02,,,
2000-03,,,
2000-04,,,
2000-05,,,
2000-06,,,
2000-07,,,
2000-08,,,
2000-09,,,
2000-10,,,
2000-11,,,
2000-12,,,
2001-01,,,
2001-02,,,
2001-03,,,
2001-04,,,
2001-05,,,
2001-06,,,
2001-07,,,
2001-08,,,
2001-09,,,
2001-10,,,
2001-11,,,
2001-12,,,
2002-01,,,
2002-02,,,
2002-03,,,
2002-04,,,
2002-05,,,
2002-06,,,
2002-07,,,
2002-08,,,
2002-09,,,
2002-10,,,
2002-11,,,
2002-12,,,
2003-01,,,
2003-02,,,
2003-03,,,
2003-04,,,
2003-05,,,
2003-06,,,
2003-07,,,
2003-08,,,
2003-09,,,
2003-10,,,
2003-11,,,
2003-12,,,
2004-01,,,
2004-02,,,
2004-03,,,
2004-04,,,
2004-05,,,
2004-06,,,
2004-07,,,
2004-08,,,
2004-09,,,
2004-10,,,
2004-11,,,
2004-12,,,
2005-01,585068.3759625802,,
2005-02,600471.3168078073,0.02632673628938753,
2005-03,588811.0454822035,-0.01941853174201813,
2005-04,608868.1580883487,0.0340637506039303,
2005-05,663499.5045824363,0.08972606921277104,
2005-06,606154.6199614678,-0.08642792379635256,
2005-07,625863.2087267904,0.032514127775806534,
2005-08,679080.880614195,0.08503083604429595,
2005-09,694409.3198169502,0.02257233216298382,
2005-10,657081.556101505,-0.05375469863406368,
2005-11,662977.3280838681,0.008972663937400815,
2005-12,705935.2027257291,0.06479539016216052,
2006-01,666503.3524152571,-0.05585760585138588,0.13918881928748328
2006-02,650076.5923961273,-0.024646177636771016,0.0826105663997887
2006-03,677671.6201106898,0.04244888685016268,0.15091526443039882
2006-04,749508.5412809512,0.10600550331224978,0.23098659590635906
2006-05,785554.3122050671,0.04809254189753687,0.18395613980065328
2006-06,766231.4643497303,-0.02459772361391188,0.26408582747160825
2006-07,723085.2057367704,-0.056309693115482284,0.15534064896986233
2006-08,711866.8621484239,-0.015514552779317126,0.048279936116851996
2006-09,701427.8620685191,-0.014664259055969797,0.010107212059623505
2006-10,658830.2039966704,-0.06072992017486689,0.0026612341785094973
2006-11,480014.4235019644,-0.27141405996560797,-0.2759715858017372
2006-12,538196.383429642,0.12120877431808963,-0.23761220385160087
2007-01,584600.563941534,0.08622165057331421,-0.12288428584331346
2007-02,601131.1300889831,0.02827668525667426,-0.0752918392688704
2007-03,648959.2615367755,0.07956355785585845,-0.042369132367125584
2007-04,679934.8565207045,0.04773118563802736,-0.09282573970583652
2007-05,687167.4196402966,0.010637141264682182,-0.12524518169672638
2007-06,755143.9164800162,0.09892275870020506,-0.014470233063482496
2007-07,717046.804686261,-0.05045013402390752,-0.008350884519005897
2007-08,719125.1094202865,0.002898422697713343,0.010196074094469099
2007-09,719052.6487259034,-0.00010076229217126365,0.025127012499059465
2007-10,714688.9705194896,-0.006068649095647971,0.08478476879773034
2007-11,695006.5312025385,-0.02753986717137169,0.4478867658435981
2007-12,704072.9341736081,0.013045061541195002,0.3082082225951097
2008-01,718516.8796168573,0.02051484262806169,0.2290731893455995
2008-02,728396.4740264507,0.013749982345385714,0.21170978771075943
2008-03,699776.7537116703,-0.039291404249358175,0.07830613597308989
2008-04,696477.3555059042,-0.004714929709033422,0.02432953514083591
2008-05,698237.028754878,0.002526533325258873,0.01610904242284339
2008-06,709625.6646757518,0.016310558523632723,-0.060277585253471266
2008-07,706708.4006112891,-0.004110990075021803,-0.014418032417696125
2008-08,709887.6280470405,0.004498641070350251,-0.012845444071188927
2008-09,705941.1761978818,-0.00555926275263563,-0.018234370669872213
2008-10,718609.574884957,0.017945402696731394,0.005485749084133351
2008-11,717063.2300759716,-0.002151856672982677,0.0317359591359081
2008-12,689773.200717437,-0.03805805152725972,-0.020310017275348313
2009-01,666244.574239386,-0.03411067065751283,-0.07275028167096786
2009-02,647654.1169446863,-0.027903352632812628,-0.11084946174359478
2009-03,625060.7243354219,-0.03488496717329437,-0.10677123665504573
2009-04,640175.6117870887,0.024181470476708045,-0.08083786683620076
2009-05,621702.0696291658,-0.02885699145325593,-0.10961171632818179
2009-06,626250.5443136882,0.007316164617620524,-0.11749169246881752
2009-07,632277.5685666354,0.009623982458254465,-0.10532042916183315
2009-08,600817.5030631473,-0.04975673195999597,-0.15364421166763276
2009-09,623807.3129967512,0.03826421470146091,-0.1163466106956591
2009-10,607555.9148521812,-0.026051951950512908,-0.15453963308317253
2009-11,598332.4685185994,-0.015181230415353464,-0.16557920777055168
2009-12,594488.3335105377,-0.006424747461188707,-0.13813941612662384
2010-01,629798.1637517934,0.059395329144217524,-0.054704251106587054
2010-02,642662.292513889,0.02042579591763527,-0.0077075468219768295
2010-03,644847.6607966438,0.0034004924642556666,0.03165602267245271
2010-04,664179.1215968683,0.02997833748259615,0.037495195642914814
2010-05,640672.0772629564,-0.03539262763544038,0.030513019918215534
2010-06,656576.5385494103,0.02482465187869587,0.04842469920558168
2010-07,643675.6890135868,-0.019648660557268105,0.01802708337857184
2010-08,628045.0637334358,-0.024283386101010662,0.04531752242814879
2010-09,604472.4176641607,-0.037533367317858835,-0.03099498022827951
2010-10,596282.6761861779,-0.013548577633418102,-0.01855506364174908
2010-11,622391.438325825,0.0437858807279774,0.04021003551218416
2010-12,585313.092598717,-0.05957399707625377,-0.015433845198676521
2011-01,612758.6785253382,0.04689043568932694,-0.02705546984282825
2011-02,617034.6461611254,0.00697822452074881,-0.03987731449517051
2011-03,594912.1059293514,-0.03585299524007146,-0.07743775453198065
2011-04,616023.550064318,0.03548666084376784,-0.07250389234875543
2011-05,614453.9023759321,-0.0025480319514116223,-0.04092292425015953
2011-06,642378.2494148671,0.04544579655358838,-0.02162472811762628
2011-07,640548.9086592817,-0.002847762602877335,-0.00485769527678892
2011-08,663008.0639349385,0.035062358193171494,0.05566957248841975
2011-09,643243.0943222974,-0.0298110546278072,0.06413969525351826
2011-10,617529.2278335133,-0.03997534791395696,0.0356316768805498
2011-11,618909.5763418146,0.0022352763984045954,-0.005594328214694522
2011-12,651217.6556004393,0.052201614732781954,0.1125971105637058
2012-01,647931.9783525917,-0.0050454363753668074,0.05740155310717343
2012-02,647203.7345326999,-0.0011239510384152274,0.04889367000584355
2012-03,656881.6808227763,0.01495347720306972,0.10416593354848303
2012-04,654664.1611745846,-0.003375828117803681,0.06272586674037428
2012-05,628531.8185940036,-0.03991717300316999,0.02291126504955998
2012-06,627016.5785851426,-0.002410761021216845,-0.023913746836411787
2012-07,623226.1921758009,-0.006045113540529834,-0.027043550069796418
2012-08,633581.8870961712,0.0166162703852617,-0.04438283399469323
2012-09,640096.5820544902,0.010282325127975556,-0.0048916378513510494
2012-10,636870.2864008392,-0.005040326325904898,0.03132006987779423
2012-11,628837.0673295718,-0.01261358748053032,0.016040293069038647
2012-12,649791.3463224256,0.03332227071447713,-0.00219021899321592
2013-01,632705.451296025,-0.026294433010073837,-0.02350019379392443
2013-02,644067.4994349652,0.017957879319146608,-0.004845823548900174
2013-03,643657.5834591127,-0.0006364487824833676,-0.02013162758184972
2013-04,683716.8738434637,0.06223695861558309,0.044378040515847594
2013-05,679824.2211185755,-0.0056933693957352816,0.08160669198786263
2013-06,719638.1636890684,0.05856505451509708,0.14771792049410482
2013-07,702068.9797388591,-0.024413913598112513,0.12650750009046163
2013-08,751192.2859883736,0.06996934441938496,0.18562777959331145
2013-09,757064.4098755504,0.007817071602979286,0.1827346545823345
2013-10,742871.3002796227,-0.018747558874496417,0.16644050781177055
2013-11,706942.6084866603,-0.048364624908027176,0.12420632500048479
2013-12,705064.2754123831,-0.0026569809935463873,0.08506258109281006
2014-01,723059.146492222,0.025522312939928682,0.14280530539308267
2014-02,768185.5314598416,0.06241036461061511,0.1927096649555584
2014-03,765229.0329852897,-0.003848677635119535,0.18887596860559586
2014-04,770462.7306595028,0.0068393872273710965,0.12687394466133872
2014-05,786538.6654054933,0.020865298354184825,0.15697358371746595
2014-06,832164.2669026783,0.058008084667602544,0.1563648356790437
2014-07,836950.3439281398,0.005751360898101687,0.1921198173994969
2014-08,870369.380438126,0.039929533158607144,0.15865058344275518
2014-09,875667.5418271868,0.006087256178972877,0.15666187764807615
2014-10,832479.6563755611,-0.04931995693423663,0.12062433433921749
2014-11,839663.2146009568,0.008629109636950627,0.18773886949381802
2014-12,810558.6006978292,-0.03466224719271449,0.14962369951837906
2015-01,807425.3892075915,-0.0038654965693291077,0.11667958717437665
2015-02,814829.3135129472,0.009169793772056067,0.06071942277338227
2015-03,826137.450774521,0.013877921515637937,0.07959501686915504
2015-04,817773.7438741431,-0.010123868482825427,0.06140597245261037
2015-05,857875.9308326596,0.04903824225088882,0.09069772226695161
2015-06,863308.2535288561,0.006332294100994229,0.0374252871276195
2015-07,863981.6396657105,0.0007800066014680418,0.03229737096552476
