,sales,MoM,YoY
,Brooklyn,,
,South Brooklyn,,
,All,,
1995-01,,,
1995-02,,,
1995-03,,,
1995-04,,,
1995-05,,,
1995-06,,,
1995-07,,,
1995-08,,,
1995-09,,,
1995-10,,,
1995-11,,,
1995-12,,,
1996-01,,,
1996-02,,,
1996-03,,,
1996-04,,,
1996-05,,,
1996-06,,,
1996-07,,,
1996-08,,,
1996-09,,,
1996-10,,,
1996-11,,,
1996-12,,,
1997-01,,,
1997-02,,,
1997-03,,,
1997-04,,,
1997-05,,,
1997-06,,,
1997-07,,,
1997-08,,,
1997-09,,,
1997-10,,,
1997-11,,,
1997-12,,,
1998-01,,,
1998-02,,,
1998-03,,,
1998-04,,,
1998-05,,,
1998-06,,,
1998-07,,,
1998-08,,,
1998-09,,,
1998-10,,,
1998-11,,,
1998-12,,,
1999-01,,,
1999-02,,,
1999-03,,,
1999-04,,,
1999-05,,,
1999-06,,,
1999-07,,,
1999-08,,,
1999-09,,,
1999-10,,,
1999-11,,,
1999-12,,,
2000-01,,,
2000-02,,,
2000-03,,,
2000-04,,,
2000-05,,,
2000-06,,,
2000-07,,,
2000-08,,,
2000-09,,,
2000-10,,,
2000-11,,,
2000-12,,,
2001-01,,,
2001-02,,,
2001-03,,,
2001-04,,,
2001-05,,,
2001-06,,,
2001-07,,,
2001-08,,,
2001-09,,,
2001-10,,,
2001-11,,,
2001-12,,,
2002-01,,,
2002-02,,,
2002-03,,,
2002-04,,,
2002-05,,,
2002-06,,,
2002-07,,,
2002-08,,,
2002-09,,,
2002-10,,,
2002-11,,,
2002-12,,,
2003-01,,,
2003-02,,,
2003-03,,,
2003-04,,,
2003-05,,,
2003-06,,,
2003-07,,,
2003-08,,,
2003-09,,,
2003-10,,,
2003-11,,,
2003-12,,,
2004-01,,,
2004-02,,,
2004-03,,,
2004-04,,,
2004-05,,,
2004-06,,,
2004-07,,,
2004-08,,,
2004-09,,,
2004-10,,,
2004-11,,,
2004-12,,,
2005-01,596130.2236622889,,
2005-02,576301.8037930768,-0.03326189326116935,
2005-03,579372.762013261,0.005328732618867349,
2005-04,580727.5965221657,0.002338450472191278,
2005-05,555251.1341782307,-0.04386990130399737,
2005-06,607929.2652394951,0.09487262216803538,
2005-07,633574.3479793153,0.04218432012763418,
2005-08,641139.0471608982,0.011939718212565342,
2005-09,648702.0485327119,0.011796195233006568,
2005-10,641030.4418476248,-0.011826086725699958,
2005-11,652759.7091926257,0.01829752002290852,
2005-12,647466.0509685854,-0.008109658346695192,
2006-01,617757.9631282283,-0.04588362246316213,0.0362802263791806
2006-02,640874.5092728126,0.037420069872553086,0.11204668292678277
2006-03,656853.0522844495,0.024932405300013283,0.13373133041662566
2006-04,670725.0077850913,0.021118811052787123,0.15497353974892514
2006-05,687827.6831188819,0.025498788825942365,0.23876862338491933
2006-06,692566.9366346498,0.006890175594966186,0.13922289357432316
2006-07,706559.6072888409,0.02020406969207178,0.11519604532964522
2006-08,707104.6469216599,0.000771399365596892,0.10288813331970914
2006-09,717564.0973635254,0.014791941316465884,0.10615358620582649
2006-10,695513.6121488754,-0.03072963836355236,0.08499310913256353
2006-11,698273.4141334664,0.003968005710289768,0.0697250524195725
2006-12,704353.8608277725,0.008707830731106592,0.08786222810305655
2007-01,705781.1831754248,0.00202642794628094,0.14248819974972204
2007-02,690522.3560038109,-0.02161977045486252,0.07746890539823892
2007-03,668144.318651369,-0.032407404565361286,0.017189942754547438
2007-04,679665.3345869044,0.017243304498630208,0.01332934764328586
2007-05,676947.3997878623,-0.00399893103374771,-0.015818327174160984
2007-06,673222.1111764803,-0.005503069533244975,-0.027932066107820064
2007-07,689323.0523778045,0.023916239431273745,-0.02439504711736251
2007-08,689124.697076693,-0.0002877537613567016,-0.025427565669723262
2007-09,686861.4855959198,-0.0032841828051930477,-0.042787274168834766
2007-10,670954.1853165432,-0.02315940056760557,-0.03531120944772426
2007-11,684637.4032730672,0.02039366957681099,-0.01952818277826185
2007-12,693951.3046807506,0.013604137552456486,-0.01476893465849205
2008-01,673193.7892890566,-0.02991206335615071,-0.046172092233675355
2008-02,669928.8020893646,-0.004849996021413117,-0.029823153059989616
2008-03,663845.667774735,-0.0090802698669733,-0.006433716124849553
2008-04,646258.3414811905,-0.026493094927468097,-0.04915212150111847
2008-05,647605.3598315257,0.002084334180117331,-0.043344637951976184
2008-06,651476.6045993424,0.005977783705841899,-0.03230064226372009
2008-07,634992.7805638263,-0.025302250179273345,-0.07881685028023822
2008-08,639832.9627538887,0.007622420818335307,-0.07152803336160007
2008-09,636741.1125996549,-0.004832277069512281,-0.07297013160197863
2008-10,640881.9619748057,0.006503191474859671,-0.04482008458975484
2008-11,622051.630053192,-0.029381903437553647,-0.0914144814768656
2008-12,607986.2105063037,-0.02261133781722524,-0.1238777038022787
2009-01,576048.5690477346,-0.05253020694658983,-0.14430498585543194
2009-02,566161.2733791122,-0.017163996579259044,-0.15489336834992562
2009-03,571717.0152019969,0.009813002202933019,-0.13878022715966631
2009-04,572347.3424927854,0.0011025162344797668,-0.11436757445792489
2009-05,588470.6303763203,0.028170459940133563,-0.0913129092547802
2009-06,588756.4167020008,0.0004856424618806532,-0.09627389142533294
2009-07,603149.4941925061,0.024446574308489177,-0.05014747780761508
2009-08,595729.7050738296,-0.012301741425830182,-0.06892933038372295
2009-09,594034.263627023,-0.002845991113698987,-0.06707097771380044
2009-10,587536.2481159356,-0.010938789071546329,-0.0832379705218903
2009-11,572194.107517669,-0.02611267074578727,-0.08015013565877116
2009-12,577156.4730689303,0.008672521240719266,-0.05070795505657888
2010-01,587556.771080948,0.01801989321321451,0.019977832862665634
2010-02,575665.7575852178,-0.020238067334078735,0.016787591545035285
2010-03,562512.5527016551,-0.022848683824338134,-0.016099682632481627
2010-04,569527.7827954957,0.012471241859666193,-0.004926308707942084
2010-05,555463.7412336943,-0.02469421507897096,-0.05608927181551704
2010-06,567118.2532985454,0.020981589255432365,-0.03675231859835093
2010-07,567803.5252608309,0.0012083405150509208,-0.05860233536131243
2010-08,558644.9699470899,-0.016129796498769222,-0.06225094167856504
2010-09,568115.3347301091,0.016952385311759244,-0.04363204361085071
2010-10,562264.4711486212,-0.010298724966238515,-0.04301313671854956
2010-11,541317.5631996797,-0.03725454661246885,-0.05396166075868902
2010-12,538537.6094762047,-0.005135532102529483,-0.0669122939700848
2011-01,533555.7960533357,-0.009250632333207887,-0.09190767205059158
2011-02,555807.5161082097,0.0417045793888251,-0.03449613115831096
2011-03,540655.275189379,-0.027261669696241997,-0.03885651512539445
2011-04,569455.3899942484,0.05326890557903341,-0.00012711021908706766
2011-05,540907.4121288169,-0.0501320706890136,-0.026205723298063477
2011-06,557472.8000391454,0.030625181942197877,-0.017007834262605437
2011-07,545740.52276787,-0.021045470326895854,-0.038856755041853375
2011-08,543710.9680583595,-0.0037189005119449003,-0.026732545162171384
2011-09,528598.2407450184,-0.02779551673807501,-0.0695582244824704
2011-10,527592.1748146238,-0.0019032714315820876,-0.061665458361911285
2011-11,529469.0555863284,0.0035574461891214604,-0.02188827486644973
2011-12,526477.0593285926,-0.005650936964432196,-0.022395000711914137
2012-01,530469.8895380201,0.007584053547403435,-0.0057836622489001455
