,sales,MoM,YoY
,Queens,,
,South Queens,,
,All,,
1995-01,,,
1995-02,,,
1995-03,,,
1995-04,,,
1995-05,,,
1995-06,,,
1995-07,,,
1995-08,,,
1995-09,,,
1995-10,,,
1995-11,,,
1995-12,,,
1996-01,,,
1996-02,,,
1996-03,,,
1996-04,,,
1996-05,,,
1996-06,,,
1996-07,,,
1996-08,,,
1996-09,,,
1996-10,,,
1996-11,,,
1996-12,,,
1997-01,,,
1997-02,,,
1997-03,,,
1997-04,,,
1997-05,,,
1997-06,,,
1997-07,,,
1997-08,,,
1997-09,,,
1997-10,,,
1997-11,,,
1997-12,,,
1998-01,,,
1998-02,,,
1998-03,,,
1998-04,,,
1998-05,,,
1998-06,,,
1998-07,,,
1998-08,,,
1998-09,,,
1998-10,,,
1998-11,,,
1998-12,,,
1999-01,,,
1999-02,,,
1999-03,,,
1999-04,,,
1999-05,,,
1999-06,,,
1999-07,,,
1999-08,,,
1999-09,,,
1999-10,,,
1999-11,,,
1999-12,,,
2000-01,,,
2000-02,,,
2000-03,,,
2000-04,,,
2000-05,,,
2000-06,,,
2000-07,,,
2000-08,,,
2000-09,,,
2000-10,,,
2000-11,,,
2000-12,,,
2001-01,,,
2001-02,,,
2001-03,,,
2001-04,,,
2001-05,,,
2001-06,,,
2001-07,,,
2001-08,,,
2001-09,,,
2001-10,,,
2001-11,,,
2001-12,,,
2002-01,,,
2002-02,,,
2002-03,,,
2002-04,,,
2002-05,,,
2002-06,,,
2002-07,,,
2002-08,,,
2002-09,,,
2002-10,,,
2002-11,,,
2002-12,,,
2003-01,,,
2003-02,,,
2003-03,,,
2003-04,,,
2003-05,,,
2003-06,,,
2003-07,,,
2003-08,,,
2003-09,,,
2003-10,,,
2003-11,,,
2003-12,,,
2004-01,,,
2004-02,,,
2004-03,,,
2004-04,,,
2004-05,,,
2004-06,,,
2004-07,,,
2004-08,,,
2004-09,,,
2004-10,,,
2004-11,,,
2004-12,,,
2005-01,819935.1980040154,,
2005-02,883499.4120935341,0.0775234606884232,
2005-03,836374.9445116224,-0.05333842551207346,
2005-04,886577.7427603074,0.06002427329766502,
2005-05,854196.5890780372,-0.03652376111028166,
2005-06,815695.3236136728,-0.04507307329091559,
2005-07,822568.4258427958,0.008426065505284352,
2005-08,856545.0647475305,0.04130554715849022,
2005-09,884039.3127031256,0.032099009249092036,
2005-10,920844.3818261343,0.041632842107971246,
2005-11,893892.4973258522,-0.02926866366587766,
2005-12,853265.4985793328,-0.045449535450916234,
2006-01,880142.2505227128,0.03149869763646729,0.07342903764256081
2006-02,854710.0695384211,-0.028895534749283636,-0.03258558201741635
2006-03,901716.4660974249,0.054996891032755846,0.07812467603744011
2006-04,877099.5329422451,-0.0273000816561777,-0.010690782500982321
2006-05,900076.3025943052,0.026196308160128856,0.05371095378147972
2006-06,895456.0080584945,-0.005133225397106367,0.09778244662660085
2006-07,922831.5933520029,0.030571669682426306,0.12189036724389024
2006-08,915680.2070683151,-0.007749394727278203,0.06903914896551866
2006-09,909527.0552988894,-0.006719760591010204,0.02883100584953624
2006-10,909131.8246757991,-0.00043454520763031024,-0.01271936646570826
2006-11,901813.5424446921,-0.008049748158048153,0.008861295001956426
2006-12,903787.7101302505,0.0021891084937655236,0.05921042352589678
2007-01,889359.8238997837,-0.01596379998173203,0.010472822287075356
2007-02,879349.6214813977,-0.011255514527845345,0.028827964968615616
2007-03,860008.6053016018,-0.021994683010396865,-0.04625385291712836
2007-04,847217.3797240709,-0.014873369288025962,-0.03406928415288746
2007-05,809667.4097386554,-0.04432152937849909,-0.10044580953310589
2007-06,807155.2988050437,-0.003102645485536626,-0.09860976804980326
2007-07,806940.8560915581,-0.00026567714267999865,-0.12558167502642026
2007-08,807208.7526522669,0.00033199032950981255,-0.11845997497678318
2007-09,772156.8568110261,-0.043423582469924726,-0.15103475777608466
2007-10,776679.2404580668,0.0058568199027824175,-0.14569128549093036
2007-11,740651.3096797544,-0.04638714272453581,-0.1787090403721917
2007-12,729716.2239333569,-0.014764148261785515,-0.1926021832846201
2008-01,719863.035860334,-0.01350276689739971,-0.19058291535614624
2008-02,704865.930579081,-0.020833275962460762,-0.19842356969276054
2008-03,677801.6898140345,-0.038396295793175717,-0.21186638641094535
2008-04,668147.5417701125,-0.014243322477656806,-0.21136232829911894
2008-05,650999.3582463884,-0.025665264708291335,-0.19596694838375917
2008-06,636555.8998988243,-0.02218659383393362,-0.21135882916061377
2008-07,638937.5016071377,0.0037413865910158606,-0.20819785392717582
2008-08,614988.2409841721,-0.03748294717828482,-0.23812986546108528
2008-09,614578.4319446544,-0.0006663689030246278,-0.2040756660727765
2008-10,619561.3337335883,0.008107837063476175,-0.20229445894783293
2008-11,618910.6520025533,-0.001050229728046248,-0.16436973253964782
2008-12,596486.1826719232,-0.036232159291609056,-0.18257788012892162
2009-01,577672.5209840272,-0.03154081726356406,-0.19752440088324563
2009-02,563260.0288923688,-0.024949242984775633,-0.20089763959846407
2009-03,563196.1007251099,-0.00011349672261418142,-0.1690842481085706
2009-04,571051.9273839708,0.013948652429849107,-0.1453206190490618
2009-05,578373.2062041067,0.012820688398120117,-0.11156101941162644
2009-06,568733.7095411401,-0.01666656850553483,-0.10654553727090421
2009-07,548476.3107402497,-0.03561842468812737,-0.1415806563855595
2009-08,547437.3960978264,-0.0018941832529122404,-0.10984087236894702
2009-09,549497.4934538322,0.003763165196039475,-0.10589525292140911
2009-10,543299.5740303369,-0.011279249673258107,-0.12308992758422199
2009-11,540639.652966734,-0.004895864437866049,-0.12646574878387518
2009-12,544186.1929509662,0.0065598961614647955,-0.0876801361712729
2010-01,545838.1669433515,0.003035677887061272,-0.05510795975970595
2010-02,549350.587034728,0.006434911122184417,-0.024694530313100982
2010-03,549918.0981490659,0.0010330581740181088,-0.023576162119994692
2010-04,543285.0453399814,-0.012061892182508971,-0.04862409303334536
2010-05,553576.859339951,0.01894367254951601,-0.04287257189332028
2010-06,546988.5033065812,-0.01190142962483165,-0.038234424775178466
2010-07,539457.9143475216,-0.01376736240988008,-0.016442636110493902
2010-08,532035.6556527289,-0.01375873538489103,-0.02813424978797996
2010-09,530824.3543990797,-0.0022767294649886916,-0.03398220970469523
2010-10,521683.0486760784,-0.01722096141076601,-0.03978748813274702
2010-11,517795.9931416737,-0.0074509906815435345,-0.042253023247012744
2010-12,504784.4760497257,-0.025128655424700996,-0.07240484490717458
2011-01,504488.8562645944,-0.0005856356507726312,-0.07575379147689465
2011-02,503556.6712020492,-0.0018477812759779555,-0.08336009265024036
2011-03,504779.0447999919,0.0024274797015890748,-0.08208322930451761
2011-04,503139.3587062157,-0.0032483244117748056,-0.07389433406664647
2011-05,507350.5497821756,0.008369830352347396,-0.08350477224227282
