,sales,MoM,YoY
,Queens,,
,The Rockaways,,
,All,,
1995-01,,,
1995-02,,,
1995-03,,,
1995-04,,,
1995-05,,,
1995-06,,,
1995-07,,,
1995-08,,,
1995-09,,,
1995-10,,,
1995-11,,,
1995-12,,,
1996-01,,,
1996-02,,,
1996-03,,,
1996-04,,,
1996-05,,,
1996-06,,,
1996-07,,,
1996-08,,,
1996-09,,,
1996-10,,,
1996-11,,,
1996-12,,,
1997-01,,,
1997-02,,,
1997-03,,,
1997-04,,,
1997-05,,,
1997-06,,,
1997-07,,,
1997-08,,,
1997-09,,,
1997-10,,,
1997-11,,,
1997-12,,,
1998-01,,,
1998-02,,,
1998-03,,,
1998-04,,,
1998-05,,,
1998-06,,,
1998-07,,,
1998-08,,,
1998-09,,,
1998-10,,,
1998-11,,,
1998-12,,,
1999-01,,,
1999-02,,,
1999-03,,,
1999-04,,,
1999-05,,,
1999-06,,,
1999-07,,,
1999-08,,,
1999-09,,,
1999-10,,,
1999-11,,,
1999-12,,,
2000-01,,,
2000-02,,,
2000-03,,,
2000-04,,,
2000-05,,,
2000-06,,,
2000-07,,,
2000-08,,,
2000-09,,,
2000-10,,,
2000-11,,,
2000-12,,,
2001-01,,,
2001-02,,,
2001-03,,,
2001-04,,,
2001-05,,,
2001-06,,,
2001-07,,,
2001-08,,,
2001-09,,,
2001-10,,,
2001-11,,,
2001-12,,,
2002-01,,,
2002-02,,,
2002-03,,,
2002-04,,,
2002-05,,,
2002-06,,,
2002-07,,,
2002-08,,,
2002-09,,,
2002-10,,,
2002-11,,,
2002-12,,,
2003-01,,,
2003-02,,,
2003-03,,,
2003-04,,,
2003-05,,,
2003-06,,,
2003-07,,,
2003-08,,,
2003-09,,,
2003-10,,,
2003-11,,,
2003-12,,,
2004-01,,,
2004-02,,,
2004-03,,,
2004-04,,,
2004-05,,,
2004-06,,,
2004-07,,,
2004-08,,,
2004-09,,,
2004-10,,,
2004-11,,,
2004-12,,,
2005-01,807240.9926364018,,
2005-02,717898.7690480015,-0.11067602414071398,
2005-03,629684.4637269549,-0.12287847413086772,
2005-04,683682.7943198796,0.08575458615148501,
2005-05,692925.1754599798,0.013518522356986251,
2005-06,716305.4321984181,0.03374138733365828,
2005-07,678401.7922463313,-0.05291547187595158,
2005-08,716050.8152280828,0.05549664433681345,
2005-09,725051.1669077155,0.01256943150992118,
2005-10,640327.0253708865,-0.11685263799818513,
2005-11,656156.7810901229,0.02472136126078306,
2005-12,657710.9971257902,0.002368665661101943,
2006-01,704680.4047037768,0.07141344417722051,-0.1270507678229621
2006-02,702282.2343889804,-0.0034032027835434464,-0.02175311524733492
2006-03,696657.3585303966,-0.008009423538212879,0.1063594524899738
2006-04,700310.0785426133,0.005243208827826251,0.024320173567150105
2006-05,649571.7079615365,-0.07245129284254537,-0.0625658715165952
2006-06,663725.3600698946,0.021789206541606543,-0.07340454192445478
2006-07,667748.79340225,0.006061894835435844,-0.015703081810569786
2006-08,688479.5488534111,0.031045740038758707,-0.03850462256074583
2006-09,680656.5887083764,-0.011362661618726344,-0.06122957968425646
2006-10,631612.9125215996,-0.07205348041931514,-0.013608847517000644
2006-11,674303.4476119201,0.06758971237602851,0.027655991745827446
2006-12,655757.8877691721,-0.027503284920799453,-0.002969555572513216
2007-01,656749.2982854114,0.0015118545041250542,-0.06801821946292652
2007-02,676973.8718120283,0.030794967850620525,-0.036037309984028876
2007-03,706564.9094038582,0.04371075284283088,0.014221554903778966
2007-04,677928.4162774481,-0.040529175374094506,-0.03195964609240354
2007-05,696298.7282359183,0.027097716392156634,0.07193512233009502
2007-06,659311.85813071,-0.053119255580022506,-0.006649590635982139
2007-07,664410.9244606065,0.007733921765571639,-0.00499868958899452
2007-08,667299.0311069592,0.004346868090252087,-0.030764193042082
2007-09,676082.7713317598,0.013163124499415924,-0.00671971365956503
2007-10,656834.5105382897,-0.028470272590373047,0.03993204938765027
2007-11,617630.2208193445,-0.05968670812807386,-0.08404706663340766
2007-12,614282.7556850708,-0.0054198532089848594,-0.06324762973907316
2008-01,629560.5563091373,0.024870958011881994,-0.04139896616145056
2008-02,627397.5304987084,-0.0034357708543716337,-0.07323228174319496
2008-03,596411.9771663438,-0.04938743272982704,-0.15589923978881493
2008-04,593751.1357942246,-0.004461415051993711,-0.12416839073577535
2008-05,600954.2283066006,0.012131501024820635,-0.1369304524954027
